epoch,train_loss,val_loss,train_energy_rmse,val_energy_rmse,train_energy_rmse_offset_free,val_energy_rmse_offset_free,train_energy_bias,val_energy_bias,train_force_rmse,val_force_rmse,train_stress_rmse,val_stress_rmse
1,0.24048924446105957,0.08697068691253662,28.660135197491353,6.578660324950234,28.545105201604386,6.358802199000916,-2.5652131622577308,1.6865367665886872,0.15387610644740898,0.092435029461443,0.0016994040228403323,0.0012186306109166223
2,0.07949630916118622,0.046166274696588516,12.186526282499331,5.274113633390219,12.186502900210149,5.266401540212424,-0.023872520114151568,0.28511302173137604,0.08581024005743369,0.06649263689061108,0.0009797794827633359,0.0005689072963840486
3,0.051179077476263046,0.037025921046733856,18.47575631227661,7.861381335569893,18.47552903381532,7.543474811886146,0.09164186421164507,-2.2129853740334506,0.06882650157378593,0.058077284179983514,0.000563786859989582,0.0005447336133644343
4,0.042807113379240036,0.031451839953660965,21.307133321067692,18.624039246450547,21.306211001354214,8.82327796611308,-0.19825016399834672,16.4013598151505,0.06183380410797712,0.05241048552429076,0.0005096340554641208,0.0004789838446424833
5,0.0378074087202549,0.028665393590927124,21.72107685139292,13.135484931296762,21.721021167374193,8.017870322521423,0.04918364158303845,10.404552843421698,0.05754394100195207,0.04886212597056733,0.00045044285407579913,0.00047117807664510893
6,0.03568592295050621,0.026087390258908272,22.978364413611885,11.130072019338588,22.978053865091287,9.65041395895488,0.11946421099323802,-5.545089140534402,0.055158159623098967,0.04767696917975775,0.00042865383005236547,0.00035431218383183156
7,0.03367280960083008,0.02560519240796566,23.44737759714943,31.853662136384806,23.446227292506045,9.877341220652813,-0.2322540235374368,30.28355860710144,0.05339726656046694,0.04609134535569693,0.0003874271827765124,0.00033015714442618605
8,0.032832175493240356,0.024792568758130074,24.8279135388682,10.18562508717623,24.82771942198528,9.091361843702506,0.09817839217040947,-4.592831179499625,0.05228720361789422,0.04538442267747825,0.00036975036164123884,0.0003387694083547241
9,0.03315500169992447,0.024298973381519318,24.072870695101102,20.054533776317903,24.07267001856534,9.213391020817742,-0.09829384681627339,-17.812853530049324,0.05139170300349898,0.044546256918860966,0.00038958595706343574,0.0003159588050555911
10,0.03224162757396698,0.02874166890978813,23.504920672875983,22.649982214763728,23.50426445801272,8.784666264839428,-0.17563634587674137,20.87705278396606,0.05039615701542685,0.044487541679129335,0.00037157855145199915,0.00043038375220804976
11,0.03074073977768421,0.03215368464589119,21.224977439531603,19.1725184902492,21.22495848121442,8.546032206273079,0.028368633192977864,17.16248230263591,0.04977333186433097,0.04386824496852282,0.00033044022421663206,0.0004983511662899438
12,0.03090117685496807,0.032065536826848984,21.552905649990272,25.994767431927553,21.551941475620506,7.623173356871883,0.2038641430238998,-24.851864352822304,0.049105835277549185,0.042453298072499986,0.00033761652441019886,0.0004909824854217129
13,0.03151867166161537,0.030191635712981224,18.466369048887316,18.25844554108084,18.461946012609193,6.636443871761953,-0.40414759334552314,17.009657442569733,0.048597026004763726,0.042909779145743246,0.0003537550567240817,0.0004353154824266261
14,0.030766980722546577,0.0297625083476305,30.106315657990812,62.106498290447895,30.104017729390925,6.982456904093916,-0.37196645964269437,61.712741192430244,0.04806744981011423,0.04255626283651448,0.00032146963610410256,0.0003453691869147877
15,0.02990422584116459,0.028981218114495277,25.93269282688647,6.390041835787268,25.9247915916149,6.387835151227795,0.6401079479143085,-0.16791886091232297,0.04759195571424969,0.04361929828759354,0.0003059278410858745,0.00037553107955169403
16,0.029493628069758415,0.022138234227895737,22.851401515126323,12.684984795873227,22.85124584763497,6.3749228545303005,0.08434700031752938,10.96673141233623,0.04731615746192102,0.04074149850292918,0.0002957268388782066,0.0002673514434668978
17,0.02977713942527771,0.022636057808995247,20.221679697793082,12.937961027463803,20.22166994614076,5.817349381332419,-0.01985924178140907,11.5563524402678,0.0468239755210674,0.04082048128415358,0.00030460046241685587,0.00026905099268124575
18,0.028356969356536865,0.022942528128623962,15.013411993494012,10.133067966671607,15.0133431490151,5.65613536807703,0.04546621065427079,8.407567966729403,0.046206030411121105,0.03936219620360385,0.00028216309529063637,0.000293720224233804
19,0.027584368363022804,0.022552410140633583,11.99174249822596,5.869450412037446,11.99155926224416,5.286086047124412,-0.06629180827912982,-2.551027722656727,0.04566836064742643,0.03982925776173458,0.00027028758061266767,0.000271761271615366
20,0.027712171897292137,0.019160224124789238,16.627568106166674,7.141423298203233,16.627434997472193,4.416806007938991,-0.06653217303103655,-5.61175118945539,0.045225130808493094,0.03918153437012479,0.00027099451791398474,0.0001988208508335966
21,0.029372356832027435,0.021730193868279457,20.98169494439957,13.085361062956313,20.981526022281006,5.256468237083973,0.08419332626520697,11.983163848519323,0.04566994350378433,0.040123984379655475,0.0002841203176538389,0.00023365837628267205
22,0.027848772704601288,0.019411562010645866,14.610593008068054,9.360977634530624,14.597582954441036,4.7827720600739525,0.6164413480776616,8.046924486756325,0.04537259061820438,0.0385398255047605,0.0002654485982330459,0.00021144156043670996
23,0.028330182656645775,0.025166751816868782,14.77611683003699,5.202499410937699,14.770210521441603,5.197693833938097,0.4177436141916665,-0.2235596776008606,0.04461017860214396,0.03848517371570501,0.00028651245821903183,0.0003213814324042358
24,0.026289450004696846,0.018094712868332863,19.889809645470454,15.533336812558016,19.88423723842649,3.097978874465761,-0.4707835798139922,15.221270624548197,0.044141090311704566,0.038173408964811126,0.00025312386806500823,0.00018114462977389352
25,0.024783963337540627,0.017796136438846588,12.927647723420518,5.0868516876377745,12.927644322992965,4.3564339734232576,0.009376515751987464,2.6263174079358573,0.0438047433629664,0.03810109667508426,0.0002329379586532491,0.0001803697145841873
26,0.024364937096834183,0.01750963367521763,11.532480745490151,7.944665610988569,11.531694871349725,3.771278149498301,0.13463112265562244,-6.992508333176375,0.04363143718234109,0.037686442326828384,0.000227874277336078,0.00018010653086485696
27,0.02521175518631935,0.028787555173039436,12.724143927506267,19.378990151072696,12.72399085605422,4.543979272544961,0.06241300299780956,-18.838723726570606,0.0434803579346358,0.038628602116416035,0.00024783312861083746,0.0003672917082594829
