epoch,train_loss,val_loss,train_energy_rmse,val_energy_rmse,train_energy_rmse_offset_free,val_energy_rmse_offset_free,train_energy_bias,val_energy_bias,train_force_rmse,val_force_rmse,train_stress_rmse,val_stress_rmse
1,0.24049143047276494,0.08699560165405273,28.67535659984785,6.939556046529035,28.559815085482352,6.362325229376093,-2.571582861097911,2.7709665820002565,0.15387648937317217,0.092441413066061,0.0016994351683576512,0.0012220086842088986
2,0.07948954085254749,0.046326808631420135,12.59588973557075,11.848634506881412,12.595884549985426,5.289806043154654,0.011429527336310695,-10.602268233895302,0.08579795788243828,0.066525592669295,0.0009801389809986486,0.0005695174119808024
3,0.05115882472407212,0.03703313320875168,18.037540005903626,7.879961831027868,18.03752042573608,7.576571657978976,0.0265773536846783,2.165493100881574,0.06881952827822414,0.05804671759378698,0.0005642197465729133,0.0005482945435653094
4,0.04286940846199927,0.031241578981280327,22.603969697716682,20.566299351939083,22.603363533287123,8.950644190120956,-0.16553874881905717,18.516442358493798,0.06184537143637955,0.05235806935834934,0.000509078796733075,0.000463488969125397
5,0.03800502949943852,0.0292501337826252,21.175771486360972,14.254370674356206,21.175650152656033,8.070493255616189,0.07168441182077924,11.74964773654938,0.05762772654074766,0.048931495009025466,0.0004570345154460901,0.0004953647224319066
6,0.03504288769482572,0.026009585708379745,22.031584166863237,16.27918215322482,22.031025951883418,9.172677137189634,0.1568324233676165,-13.44893176853657,0.0549949380222255,0.047330206722649475,0.0004091564500579693,0.0003603178475098694
7,0.03395044846040831,0.02494518831372261,26.50816983502924,13.073562097965166,26.50816982091973,10.049525587118966,0.0008648906770749717,8.362120628356926,0.05344680900740772,0.04615352119888312,0.0003904345465274311,0.0003363337989858189
8,0.032687258702598414,0.024239618331193924,25.687011148455834,10.654060903356202,25.68658554229972,9.010314614483743,-0.14786791069344582,5.685353487730028,0.05225020530149801,0.045302376661303795,0.0003640321134462689,0.0003179109700931412
9,0.03315399200185576,0.023401960730552673,23.73355032572603,16.698142310418376,23.73179050282574,9.173725440410681,0.28901659772404364,13.952444881200789,0.0513339639985686,0.04436969543858789,0.0003919342051470658,0.0002909315937700155
10,0.032529032730356046,0.024647729471325874,21.38165833910544,25.263465469916483,21.381655488605258,7.852686187178241,0.011040689909305845,-24.012038797140132,0.05055903291641426,0.045410602212326005,0.0003779698175562929,0.0002727371796311958
11,0.03079812728329699,0.02688845805823803,19.843096957887486,10.725445327540507,19.841967285004937,8.16897896951519,-0.21173365560909543,-6.950033098459244,0.049935247024320915,0.04454197276102595,0.00032901780924617964,0.00037053723129512795
